program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder_n18,18,1.3409090909090908,1.0359848484848482,1.3721590909090908,1.1942448567979864,0.8033271649435718,1.224431818181818,1.1761363636363635,0.9829545454545454
bv_n19,19,3.0,3.0,2.9166666666666665,3.0,1.9444444444444444,2.4166666666666665,2.2777777777777777,2.361111111111111
gcm_n13,13,0.6647058823529411,0.6362745098039218,0.5647058823529412,0.518998735628042,0.3677165394002354,0.5883986928104573,0.5524509803921569,0.4939542483660131
ising_n26,26,8.0,6.75,4.3125,6.623897349565123,3.6238973495651234,5.083333333333334,5.5,3.645833333333333
knn_n25,25,1.903225806451613,1.5806451612903225,1.875,1.4989959678518026,1.062171056812657,1.3629032258064515,1.6935483870967742,1.4086021505376343
multiplier_n15,15,2.075187969924812,1.4849624060150375,1.6578947368421053,1.8499405312797763,1.260938175523261,1.3013784461152882,1.5620300751879699,1.2612781954887216
qec9xz_n17,17,3.6666666666666665,4.583333333333333,3.375,3.6666666666666665,2.3333333333333335,2.9444444444444446,2.75,4.118055555555555
qft_n18,18,3.4696969696969697,2.578282828282828,2.727272727272727,2.452147361234486,1.2769009244981173,2.275252525252526,2.507575757575758,2.1010101010101017
qpeexact_16,16,3.255813953488372,2.589147286821704,2.1627906976744184,2.284031266356167,1.209165259821703,1.860465116279069,2.122093023255814,1.694767441860465
qram_n20,20,2.3461538461538463,1.5833333333333333,2.1634615384615383,2.1068381557934797,1.4684321429409373,1.5566239316239316,1.75,1.7457264957264955
sat_n11,11,1.5686274509803921,1.2352941176470589,1.2279411764705883,1.3876471441640799,1.0064910777364289,1.0882352941176472,1.1127450980392157,0.9979575163398696
swap_test_n25,25,1.9838709677419355,1.2284946236559138,1.717741935483871,1.6224424486018993,1.1715262731895433,1.435483870967742,1.5362903225806452,1.3185483870967742
wstate_n27,27,1.3571428571428572,2.101190476190476,1.7946428571428572,1.3348826163819416,1.1249999997967541,1.8571428571428572,1.3214285714285714,1.318452380952381
