program,num_qubits,cx,zzphase,sqisw,can_xx,can_xy,zzphase_,sqisw_,het
bigadder_n18,18,1.75,1.8933333333333333,1.259493670886076,1.8999999999999995,1.26,1.3333333333333333,1.1139240506329113,1.5233333333333334
bv_n19,19,2.0,2.0555555555555554,1.1666666666666667,2.2222222222222214,1.1388888888888884,1.3888888888888888,1.0,1.6666666666666667
cat_state_n22,22,1.9047619047619047,1.380952380952381,1.0714285714285714,1.1428571428571428,1.1190476190476186,1.3333333333333333,1.0,1.3571428571428572
dnn_n16,16,2.875,6.0,3.0625,7.268123495846491,4.54425178219397,4.333333333333333,2.3125,4.916666666666667
gcm_n13,13,1.307843137254902,1.593718843469593,1.0809018567639257,1.6196557997529115,1.1197665492225715,1.1384152457372123,1.0,1.365273955466601
ghz_state_n23,23,1.4545454545454546,1.2727272727272727,1.0227272727272727,1.454545454545454,1.0,1.0909090909090908,1.0,1.0227272727272727
ising_n26,26,4.5,6.181818181818182,3.5,6.0995326280628674,3.7345459511814267,4.545454545454545,2.5,4.590909090909091
knn_n25,25,1.435483870967742,1.7954545454545454,1.11,1.7954545454545436,1.1874999999999996,1.2272727272727273,1.06,1.4886363636363635
multiplier_n15,15,2.0526315789473686,2.2457627118644066,1.4139344262295082,2.2711864406779667,1.4449152542372883,1.63135593220339,1.2295081967213115,1.8347457627118644
qec9xz_n17,17,3.0833333333333335,3.1666666666666665,1.875,3.6666666666666656,1.916666666666667,2.1666666666666665,1.4166666666666667,2.625
qf21_n15,15,1.4017857142857142,2.8996415770609336,1.2734375,4.706226996169164,2.490197551265684,2.007168458781363,1.0,2.1415770609319007
qft_n18,18,2.696969696969697,6.330769230769231,2.8181818181818183,11.090996093750004,5.199804687500004,4.361538461538461,2.1515151515151514,5.065384615384615
qpeexact_16,16,2.7325581395348837,6.067010309278344,2.67816091954023,8.249207222500234,4.240200280606422,4.223404255319145,2.1627906976744184,4.551451187335089
qram_n20,20,1.8974358974358974,2.0303030303030303,1.4,1.9318181818181839,1.3863636363636362,1.446969696969697,1.2142857142857142,1.696969696969697
sat_n11,11,1.7107843137254901,1.8333333333333333,1.1483516483516483,1.8713450292397684,1.219298245614036,1.2485380116959064,1.120879120879121,1.4576023391812865
swap_test_n25,25,1.3709677419354838,1.7272727272727273,1.13,1.7727272727272712,1.1761363636363633,1.25,1.06,1.4659090909090908
wstate_n27,27,1.5,1.7142857142857142,1.3035714285714286,1.7857142857142847,1.2678571428571428,1.3928571428571428,1.1071428571428572,1.3482142857142858
